stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Elland Road,2021-02-27,5.8,2.5,10.4,0.0,nan,225.0,6.5,20.4,1040.9,nan
Elland Road,2021-03-13,5.4,4.4,7.1,5.6,nan,260.0,26.8,59.3,988.9,nan
Elland Road,2021-04-03,5.9,3.3,9.1,0.0,nan,8.0,12.7,27.8,1034.5,nan
Elland Road,2021-04-19,7.9,0.9,15.1,0.0,nan,162.0,7.3,24.1,1022.3,nan
Elland Road,2021-04-25,7.2,2.4,12.7,0.0,nan,44.0,9.0,25.9,1031.5,nan
Elland Road,2021-05-08,7.4,2.4,13.2,14.0,nan,159.0,12.5,29.6,1002.3,nan
Elland Road,2021-05-23,9.1,5.1,12.8,7.1,nan,178.0,17.7,44.5,1003.5,nan
Elland Road,2021-08-21,17.2,15.0,19.5,10.1,nan,147.0,7.5,22.2,1014.5,nan
Elland Road,2021-09-12,14.0,11.6,16.9,2.0,nan,335.0,7.5,20.4,1018.9,nan
Elland Road,2021-09-25,17.9,15.8,20.9,0.0,nan,196.0,7.5,20.4,1012.7,nan
Elland Road,2021-10-02,10.0,8.3,11.6,3.9,nan,163.0,16.4,38.9,996.2,nan
Elland Road,2021-10-23,9.2,6.1,12.6,0.0,nan,177.0,14.4,33.3,1021.1,nan
Elland Road,2021-11-07,9.3,6.3,11.4,0.0,nan,279.0,20.8,46.3,1018.2,nan
Elland Road,2021-11-30,9.5,7.4,10.7,4.0,nan,259.0,20.8,42.6,1004.7,nan
Elland Road,2021-12-05,4.7,2.1,6.6,1.4,nan,332.0,20.5,46.3,1008.9,nan
Elland Road,2021-12-18,4.8,3.3,6.4,0.0,nan,115.0,3.1,11.1,1041.2,nan
Elland Road,2022-01-02,10.1,9.0,10.7,5.8,nan,210.0,20.8,46.3,1004.0,nan
Elland Road,2022-01-22,3.9,1.4,7.6,0.0,nan,256.0,7.9,22.2,1036.4,nan
Elland Road,2022-02-20,8.3,4.3,11.0,32.1,nan,237.0,35.8,68.5,994.0,nan
Elland Road,2022-02-26,5.5,2.4,9.5,0.0,nan,161.0,16.8,38.9,1026.6,nan
Elland Road,2022-03-10,10.0,7.3,13.2,0.3,nan,155.0,18.7,44.5,1013.5,nan
Elland Road,2022-03-13,8.7,6.9,11.9,0.6,nan,158.0,20.3,46.3,1004.5,nan
Elland Road,2022-04-02,3.1,-1.1,7.5,0.7,nan,3.0,7.2,25.9,1024.4,nan
Elland Road,2022-04-30,9.6,2.5,16.1,2.3,nan,217.0,9.3,29.6,1029.0,nan
Elland Road,2022-05-11,12.4,9.3,14.9,1.8,nan,235.0,21.4,42.6,1006.2,nan
Elland Road,2022-05-15,13.1,9.2,17.7,3.7,nan,58.0,10.9,31.5,1017.5,nan
Elland Road,2022-08-06,14.2,8.6,18.8,0.0,nan,266.0,11.6,31.5,1028.5,nan
Elland Road,2022-08-21,16.7,13.0,20.5,0.7,nan,243.0,12.7,31.5,1013.9,nan
Elland Road,2022-08-30,13.8,10.8,17.4,0.0,nan,9.0,13.7,29.6,1027.4,nan
Elland Road,2022-10-02,12.5,9.1,16.8,0.0,nan,258.0,10.9,29.6,1018.7,nan
Elland Road,2022-10-16,10.8,8.8,13.4,0.0,nan,205.0,20.5,44.5,1005.7,nan
Elland Road,2022-10-23,12.6,11.6,14.0,8.9,nan,128.0,8.1,20.4,1001.6,nan
Elland Road,2022-11-05,8.9,6.6,11.3,1.9,nan,178.0,13.0,33.3,1008.8,nan
Elland Road,2022-12-28,8.1,6.5,9.5,4.7,nan,189.0,20.2,46.3,994.7,nan
Elland Road,2023-01-04,11.1,9.7,12.4,1.1,nan,249.0,35.1,64.8,1006.4,nan
Elland Road,2023-01-22,-1.3,-3.8,1.0,0.0,nan,146.0,10.1,24.1,1034.0,nan
Elland Road,2023-02-12,4.7,2.0,8.5,0.0,nan,172.0,6.7,22.2,1036.7,nan
Elland Road,2023-02-25,3.8,2.7,5.5,0.0,nan,356.0,16.8,35.2,1021.0,nan
Elland Road,2023-03-11,0.3,-4.6,4.1,3.5,nan,170.0,9.3,31.5,1008.1,nan
Elland Road,2023-04-04,6.1,-0.5,12.6,0.0,nan,160.0,11.2,29.6,1027.3,nan
Elland Road,2023-04-09,8.4,3.4,13.4,0.0,nan,151.0,13.8,35.2,1020.5,nan
Elland Road,2023-04-17,10.7,6.6,15.1,0.3,nan,99.0,7.6,24.1,1028.9,nan
Elland Road,2023-04-25,5.6,0.4,10.7,0.0,nan,346.0,8.3,20.4,1018.7,nan
Elland Road,2023-05-13,11.2,7.4,16.2,0.0,nan,40.0,10.0,24.1,1028.1,nan
Elland Road,2023-05-28,12.6,9.0,15.0,0.4,nan,13.0,13.4,29.6,1026.6,nan
Selhurst Park,1992-08-15,16.4,12.7,20.1,0.0,nan,200.0,11.3,nan,1016.6,nan
Selhurst Park,1992-08-25,18.8,16.9,21.8,13.0,nan,228.0,19.7,nan,1010.8,nan
Selhurst Park,1992-08-29,14.3,11.8,17.7,0.0,nan,239.0,12.8,nan,1005.2,nan
Selhurst Park,1992-09-12,11.4,6.3,15.9,0.0,nan,201.0,7.6,nan,1024.6,nan
Selhurst Park,1992-09-26,17.5,13.9,22.4,0.0,nan,84.0,9.0,nan,1013.0,nan
Selhurst Park,1992-10-17,2.4,-3.2,9.6,nan,nan,273.0,5.3,nan,1003.5,nan
Selhurst Park,1992-11-02,11.3,8.1,14.2,7.1,nan,221.0,25.5,nan,nan,nan
Selhurst Park,1992-11-21,8.5,5.7,13.8,nan,nan,208.0,10.4,nan,1012.3,nan
Selhurst Park,1992-12-05,4.1,2.1,6.8,nan,nan,237.0,13.6,nan,997.0,nan
