,Season_End_Year,Wk,Date,Team,HomeGoals,AwayGoals,Away,FTR,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
99,1998,12,1997-10-25,Coventry City,0,0,Everton,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-10-25,3.3,-2.7,11.4,,,,2.3,,1029.9,
100,1996,11,1995-10-28,Leeds United,3,1,Coventry City,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1995-10-28,7.6,4.8,9.8,,,250.0,10.4,,,
101,1996,27,1996-05-02,Leeds United,1,3,Tottenham,A,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1996-05-02,5.0,3.8,5.8,,,,26.1,,,
102,1997,5,1996-09-07,Leeds United,0,4,Manchester Utd,A,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1996-09-07,12.5,9.8,14.8,,,,4.6,,,
103,1997,9,1996-10-12,Leeds United,2,0,Nott'ham Forest,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1996-10-12,13.6,11.8,15.8,,,198.0,20.0,,,
104,1997,12,1996-11-02,Leeds United,3,0,Sunderland,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1996-11-02,14.8,12.8,15.8,,,235.0,30.7,,,
105,1997,15,1996-12-01,Leeds United,2,0,Chelsea,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1996-12-01,7.3,3.8,10.8,,,248.0,32.1,,,
106,1997,17,1996-12-14,Leeds United,0,0,Tottenham,D,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1996-12-14,3.8,-1.2,7.8,,,251.0,29.3,,,
107,1997,28,1997-03-01,Leeds United,1,0,West Ham,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1997-03-01,8.5,4.8,11.8,,,218.0,35.0,,,
108,1997,30,1997-03-08,Leeds United,1,0,Everton,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1997-03-08,7.1,3.8,9.8,,,65.0,14.3,,,
